variable,Est.,S.E.,t val.,p
(Intercept),-6.667684484306881,1.8236434452478807,-3.656243495230269,2.727772344951467e-4
HHSIZE,1.786453492361378,0.22656918550593189,7.88480343596683,1.0385899836805017e-14
HHVEHCNT,0.5038090439715387,0.34520471842400324,1.4594500511801438,0.14483628486698596
log(income_k),1.5060128866004436,0.3185639337972268,4.727505931537922,2.68826919902032e-6
race_eth2.Non-Hispanic Black,1.6153767106168722,1.0509093282765118,1.5371228203541452,0.12466111795437615
race_eth3.Asian,-1.9997299046631531,2.0237773456991,-0.9881175460892216,0.3233957176299155
race_eth4.Hispanic,-0.30526575859792987,1.0109341324457317,-0.3019640437497217,0.7627584486002503
race_eth5.Other,1.4916155225385042,1.1002206881248238,1.3557421148667541,0.17556622089947166
log(HBRESDN),0.485928173775111,0.1975749064438182,2.4594630083415376,0.014126421798986705
